date_added,company_name,company_website,hq_country,hq_city,industry,sector
2026-04-13,28th Street Agency Pty Ltd,https://28thstreetagency.com.au/,Australia,South Australia,Management consultant - for-profits,Service with Minor Environmental Footprint
2026-04-13,Actionmail Limited,https://actionhq.co/,New Zealand,Auckland Region,Data processing & hosting,Service with Minor Environmental Footprint
2026-04-13,ALLpaQ Packaging Ltd,https://www.allpaq.com,United Kingdom,Lancashire,Rubber & plastics products,Manufacturing
2026-04-13,Anna French Associates Ltd,https://www.annafrenchassociates.co.uk,United Kingdom,Bedford,Architecture design & planning,Service with Minor Environmental Footprint
2026-04-13,Arden Parks Limited,https://ardenparks.co.uk,United Kingdom,Warwickshire,Accommodation,Service with Significant Environmental Footprint
2026-04-13,Atamis Ltd,https://atamis.co.uk,United Kingdom,Wales,Software publishing and SaaS platforms,Service with Minor Environmental Footprint
2026-04-13,Australia In Style (Aust. Pty Ltd),https://www.australiainstyle.com.au/,Australia,New South Wales,Other recreation,Service with Significant Environmental Footprint
2026-04-13,BARTOLOMEI DESIGN LTDA,https://cba-design.com/latam/,Brazil,São Paulo,Spec design (non-building),Service with Minor Environmental Footprint
2026-04-13,Benexia,https://www.benexia.com,Chile,Arica y Parinacota Region,Agricultural Processing,Agriculture/Growers
2026-04-13,BIANNA,https://www.bianna.com,Spain,Catalonia,Materials recovery & recycling,Manufacturing
2026-04-13,Big Motive Ltd,https://www.bigmotive.com,United Kingdom,Belfast district,"Other professional, scientific & tech",Service with Minor Environmental Footprint
2026-04-13,Bluebird Day B.V.,https://www.bluebirdday.nl/,Netherlands The,North Brabant,Computer programming services,Service with Minor Environmental Footprint
2026-04-13,Buckles Solicitors LLP,https://www.buckles-law.co.uk,United Kingdom,Cambridgeshire,Legal activities,Service with Minor Environmental Footprint
2026-04-13,Building Relations PR,https://www.building-relations.co.uk/,United Kingdom,Hertfordshire,"Other professional, scientific & tech",Service with Minor Environmental Footprint
2026-04-13,CALAND SA,https://www.caland.ch,Switzerland,Canton of Jura,Pharmaceutical products,Manufacturing
2026-04-13,Celtic Financial Planning ltd,https://www.celticfp.co.uk/,United Kingdom,Flintshire,Other financial services,Service with Minor Environmental Footprint
2026-04-13,Chapel House Estate Ltd,https://www.chapelhouseestate.co.uk,United Kingdom,Kent,Event catering & related,Service with Significant Environmental Footprint
2026-04-13,CHATEAU MONDOT,https://www.troplong-mondot.com/,France,Nouvelle-Aquitaine,Growing perennial crops,Agriculture/Growers
2026-04-13,Château Léoube,https://www.leoube.com,France,Provence-Alpes-Côte d'Azur,Agricultural Processing,Agriculture/Growers
2026-04-13,Cleaner Seas Group,https://www.cleaner-seas.com,United Kingdom,Cornwall,Fabricated metal products,Wholesale/Retail
2026-04-13,Cloud9 Insight,https://www.cloud9insight.com/,United Kingdom,East Sussex,Software publishing and SaaS platforms,Service with Minor Environmental Footprint
2026-04-13,COST LIMITED,https://theaddress.fr/,France,Paris,Management consultant - for-profits,Service with Minor Environmental Footprint
2026-04-13,DG Organic Basics ApS,https://www.organicbasics.com,Denmark,Capital Region of Denmark,Apparel,Wholesale/Retail
2026-04-13,DIGREN ENERGY LIMITED,https://www.digrenenergy.ie/,Ireland,County Dublin,Environmental consulting,Service with Minor Environmental Footprint
2026-04-13,DoceCuarenta,https://www.docecuarenta.com,Mexico,Baja California Sur,Restaurants & food service,Service with Significant Environmental Footprint
2026-04-13,EBEAUTY LIMITED,https://www.innopure.co.uk,United Kingdom,Carmarthenshire,Food products,Wholesale/Retail
2026-04-13,Econexo,https://Econexo.cl,Chile,Antofagasta Region,Transportation support,Service with Minor Environmental Footprint
2026-04-13,FLASKE,https://www.flaske.com,Netherlands The,Utrecht,Other retail sale,Wholesale/Retail
2026-04-13,Fresh Line International B.V.,https://saborverde.eu/,Netherlands The,North Holland,Food products,Wholesale/Retail
2026-04-13,Ground Wellbeing Limited,https://www.groundwellbeing.com,Ireland,County Cork,Personal care products,Manufacturing
2026-04-13,Hamton Property Group,https://www.hamton.com.au,Australia,Victoria,Contracting & building,Service with Minor Environmental Footprint
2026-04-13,Haus Haus Design LLC,https://www.haushaus.design/,United States,California,Advertising & market research,Service with Minor Environmental Footprint
2026-04-13,Highland Experience Tours,https://www.highlandexperience.com/,United Kingdom,Edinburgh,Other recreation,Service with Significant Environmental Footprint
2026-04-13,Hollit International & Continent 8,https://hollitinternational.com/continent-eight.com,Indonesia,Jakarta,Apparel,Wholesale/Retail
2026-04-13,House of Risks,https://www.barbon.nl,Netherlands The,North Holland,Non-life insurance,Service with Minor Environmental Footprint
2026-04-13,"Ideas by Mike, LLC dba 1.oak Financial",https://www.1oakfinancial.com,United States,Virginia,Other financial services,Service with Minor Environmental Footprint
2026-04-13,Intersand,https://www.intersand.com,Canada,Quebec,Chemicals & chemical products,Manufacturing
2026-04-13,Invalab,http://www.invalab.com/,South Korea,Gyeonggi Province,Environmental consulting,Service with Minor Environmental Footprint
2026-04-13,JOLLIE,https://www.jolliegroup.com,France,Provence-Alpes-Côte d'Azur,Food products,Wholesale/Retail
2026-04-13,LOF Servicios SPA,https://lofservicios.com/,Chile,Santiago Metropolitan Region,Environmental consulting,Service with Minor Environmental Footprint
2026-04-13,Makao Investments Limited,https://makao.co.nz/,New Zealand,Auckland Region,"Other professional, scientific & tech",Service with Minor Environmental Footprint
2026-04-13,Meet Events Ltd,https://www.meet-events.co.uk,United Kingdom,London Borough of Southwark,Other business support,Service with Minor Environmental Footprint
2026-04-13,Montagne Alternative SA,https://montagne-alternative.com/,Switzerland,Canton of Valais,Event catering & related,Service with Significant Environmental Footprint
2026-04-13,MyEasyFarm,https://www.myeasyfarm.com,France,Grand Est,Software publishing and SaaS platforms,Service with Minor Environmental Footprint
2026-04-13,nichecology,https://www.nichecology.co.uk,United Kingdom,Devon,Environmental consulting,Service with Minor Environmental Footprint
2026-04-13,Nobilito,https://www.nobilito.fr,France,Pays de la Loire,Other info service activities,Service with Minor Environmental Footprint
2026-04-13,Norion Consult,https://www.norion.dk/,Denmark,Capital Region of Denmark,Environmental consulting,Service with Minor Environmental Footprint
2026-04-13,North Network ltd,https://www.beyondbeliefproductions.com,United Kingdom,United Kingdom,Management consultant - for-profits,Service with Minor Environmental Footprint
2026-04-13,Nustream Ltd,https://www.nustream.co.uk/,United Kingdom,Hampshire,Other info service activities,Service with Minor Environmental Footprint
2026-04-13,Oakmere Wealth Management Ltd,https://www.oakmerewealth.co.uk/,United Kingdom,Cheshire West and Chester,Investment advising,Service with Minor Environmental Footprint
2026-04-13,OPUS Cactus International,https://www.opuscactus.com/,Netherlands The,Groningen,Chemicals & chemical products,Manufacturing
2026-04-13,OT Group Ltd,https://otgroup.io,United Kingdom,City of London,Employment placement & HR,Service with Minor Environmental Footprint
2026-04-13,Packfeed,https://www.packfeed.nl,Netherlands The,South Holland,Other transport equipment,Service with Significant Environmental Footprint
2026-04-13,Pas Denom,https://www.pasdenom.cl,Chile,Santiago Metropolitan Region,Apparel,Wholesale/Retail
2026-04-13,Progetti Del Cuore Srl Società Benefit,https://www.progettidelcuore.com,Italy,Province of Reggio Emilia,Other personal services,Service with Minor Environmental Footprint
2026-04-13,Regeneras,https://www.regeneras.es,New Zealand,Auckland Region,Management consultant - for-profits,Service with Minor Environmental Footprint
2026-04-13,Remedii Products,https://www.remediiproducts.com,United States,Pennsylvania,Cleaning products,Manufacturing
2026-04-13,Scout Lunar Inc,https://www.scoutlunar.com,United States,California,Management consultant - nonprofits,Service with Minor Environmental Footprint
2026-04-13,Sentaris,https://www.sentaris.com.au,Australia,Victoria,"Other professional, scientific & tech",Service with Minor Environmental Footprint
2026-04-13,Serica 1870 S.r.l.,https://www.serica1870.com/it/,Italy,Veneto,Textiles,Manufacturing
2026-04-13,"Shijiazhuang Far East Import & Export Trading Co., Ltd",https://www.ikooglass.com,China,Hebei,Other/general wholesale trade,Wholesale/Retail
2026-04-13,Six Degrees,https://www.thisis6.com,United Kingdom,London Borough of Islington,Other financial services,Service with Minor Environmental Footprint
2026-04-13,SORORAL Ltd.,https://www.sororal.travel/,Canada,Nova Scotia,Other personal services,Service with Minor Environmental Footprint
2026-04-13,Tallawah Consulting,https://www.tallawahconsulting.com,United States,New York,Management consultant - for-profits,Service with Minor Environmental Footprint
2026-04-13,The Brandscape Agency BV,https://thebrandscapeagency.com/,Netherlands The,South Holland,Other manufacturing,Manufacturing
2026-04-13,The Literacy Tree Limited,https://www.literacytree.com,United Kingdom,London Borough of Islington,Education & training services,Service with Minor Environmental Footprint
2026-04-13,Thomas Franks Ltd.,https://www.thomasfranks.com,United Kingdom,Oxfordshire,Event catering & related,Service with Significant Environmental Footprint
2026-04-13,Tintas Verginia,https://www.tintasverginia.com.br,Brazil,Paraná,Other manufacturing,Manufacturing
2026-04-13,TPM Studio,https://www.tpm-studio.co.uk,United Kingdom,London Borough of Islington,Architecture design & planning,Service with Minor Environmental Footprint
2026-04-13,Vesteda Residential Fund,https://www.vesteda.com,Netherlands The,North Holland,Real estate - leased property,Service with Significant Environmental Footprint
2026-04-13,Wine Service ApS,https://wineservice.dk,Denmark,Region Zealand,Beverages,Wholesale/Retail
2026-04-13,Workplace Scotland Limited,https://www.workplacescotland.co.uk,United Kingdom,United Kingdom,Management consultant - for-profits,Service with Minor Environmental Footprint
2026-04-13,WR Ethical Limited,https://www.wrethical.com,United Kingdom,City of Bristol,Mortgage advice & brokerage,Service with Minor Environmental Footprint
2026-04-13,Xenia Venues,https://www.xeniavenues.co.uk/,United Kingdom,London Borough of Lambeth,Event catering & related,Service with Significant Environmental Footprint
2026-04-13,Zooss Consulting,https://www.zooss.com.au,Australia,New South Wales,"Other professional, scientific & tech",Service with Minor Environmental Footprint
